divisionId,teamId,managerId,employeeId,firstName,lastName,birthdate
8,4,2,738,Antonina,Cartwright,1987-10-17
10,7,1,1003,Zoie,Pouros,1961-11-18
14,11,2,1350,Dillan,Eichmann,1962-1-11
8,2,1,710,Fiona,Treutel,1952-10-16
10,2,2,962,Shemar,Mraz,1986-5-7
8,9,1,770,Jazmyne,Kovacek,1991-7-19
3,3,1,206,Leonardo,Rutherford,1970-8-2
9,13,1,903,Lauretta,Gottlieb,1998-8-1
11,3,2,1064,Hollis,Jakubowski,1970-3-26
6,5,1,522,Mavis,Koss,1994-5-9
3,14,2,328,Sylvan,Metz,1959-7-17
12,3,2,1167,Crystal,Koss,1967-12-11
8,2,1,714,Cassandre,Wuckert,1977-1-6
13,5,1,1203,Aracely,Haley,1983-1-1
